"id","shock.stage","instar","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","date.3","mass.in.hs","inst.in.hs","date.in.hs","time.in.hs","date.out.hs","time.out.hs","date.4","date.5","date.p5.1","mass.p5.1","instar.p5.1","date.p5.2","mass.p5.2","inst.p5.2","date.p5.3","mass.p5.3","inst.p5.3","date.p5.4","mass.p5.4","inst.p5.4","date.cull","date.wand","date.em","instar.em","bled.em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","fem.ecl","male.ecl","fem.mass","male.mass","num.unem.mat","num.unem.im","mat.load","tot.load","mass.unem","mass.fail.spin","pup","moth.ecl","pv.dna","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.p5.4.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died.bf5","time.ovp.dec","time.in.hs.dec","time.out.hs.dec","tt3","tt4","tt5","ttp5.1","ttp5.2","ttp5.3","ttp5.4","ttwand","ttcull","ttem.h","ttem.w","ttecl","ps.em","ps.ecl","ind.male.mass","ind.fem.mass","tot.unem","p.unem.mat","p.unem.im","hs.cal","mass","age"
82,"control","4",25,10,42,3,NA,"10/19/18","10/24/18",10:05:00,1,"10/24/18","FALSE",NA,NA,NA,NA,NA,"10/29/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43409.00",4,1,64,50,14,"11/12/18",40,9,31,1.94,5.23,57,3,"121",124,NA,NA,NA,NA,NA,NA,"3 young immature 2nds, no 1sts seen",0,293,298,298,0,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",10.0833333333333,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.516129032258065,0.32258064516129,0.168709677419355,0.215555555555556,60,0.95,0.05,"none","357.19",10
82,"control","5",25,10,42,3,NA,"10/19/18","10/24/18",10:05:00,1,"10/24/18","FALSE",NA,NA,NA,NA,NA,"10/29/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43409.00",4,1,64,50,14,"11/12/18",40,9,31,1.94,5.23,57,3,"121",124,NA,NA,NA,NA,NA,NA,"3 young immature 2nds, no 1sts seen",0,293,298,298,0,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",10.0833333333333,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.516129032258065,0.32258064516129,0.168709677419355,0.215555555555556,60,0.95,0.05,"none",NA,NA
82,"control","cull",25,10,42,3,NA,"10/19/18","10/24/18",10:05:00,1,"10/24/18","FALSE",NA,NA,NA,NA,NA,"10/29/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43409.00",4,1,64,50,14,"11/12/18",40,9,31,1.94,5.23,57,3,"121",124,NA,NA,NA,NA,NA,NA,"3 young immature 2nds, no 1sts seen",0,293,298,298,0,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",10.0833333333333,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.516129032258065,0.32258064516129,0.168709677419355,0.215555555555556,60,0.95,0.05,"none",NA,NA
82,"control","em",25,10,42,3,NA,"10/19/18","10/24/18",10:05:00,1,"10/24/18","FALSE",NA,NA,NA,NA,NA,"10/29/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43409.00",4,1,64,50,14,"11/12/18",40,9,31,1.94,5.23,57,3,"121",124,NA,NA,NA,NA,NA,NA,"3 young immature 2nds, no 1sts seen",0,293,298,298,0,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",10.0833333333333,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.516129032258065,0.32258064516129,0.168709677419355,0.215555555555556,60,0.95,0.05,"none","2126.08",NA
82,"control","wand",25,10,42,3,NA,"10/19/18","10/24/18",10:05:00,1,"10/24/18","FALSE",NA,NA,NA,NA,NA,"10/29/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43409.00",4,1,64,50,14,"11/12/18",40,9,31,1.94,5.23,57,3,"121",124,NA,NA,NA,NA,NA,NA,"3 young immature 2nds, no 1sts seen",0,293,298,298,0,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",10.0833333333333,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.516129032258065,0.32258064516129,0.168709677419355,0.215555555555556,60,0.95,0.05,"none",NA,NA
83,"control","3",25,10,0,0,NA,"10/20/18","10/25/18",09:43:00,1,"10/25/18","FALSE",NA,NA,NA,NA,NA,"10/30/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43410.00",4,1,65,61,4,"11/12/18",57,16,41,5.17,8.51,41,0,"106",106,NA,NA,NA,NA,NA,NA,"mostly mature 2nds, a few younger 2nds. 1 middling 1st, not counted in unem",0,294,299,299,0,NA,304,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",9.71666666666667,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.613207547169811,0.537735849056604,0.207560975609756,0.323125,41,1,0,"none","69.28",5
83,"control","4",25,10,0,0,NA,"10/20/18","10/25/18",09:43:00,1,"10/25/18","FALSE",NA,NA,NA,NA,NA,"10/30/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43410.00",4,1,65,61,4,"11/12/18",57,16,41,5.17,8.51,41,0,"106",106,NA,NA,NA,NA,NA,NA,"mostly mature 2nds, a few younger 2nds. 1 middling 1st, not counted in unem",0,294,299,299,0,NA,304,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",9.71666666666667,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.613207547169811,0.537735849056604,0.207560975609756,0.323125,41,1,0,"none","284.68",10
83,"control","5",25,10,0,0,NA,"10/20/18","10/25/18",09:43:00,1,"10/25/18","FALSE",NA,NA,NA,NA,NA,"10/30/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43410.00",4,1,65,61,4,"11/12/18",57,16,41,5.17,8.51,41,0,"106",106,NA,NA,NA,NA,NA,NA,"mostly mature 2nds, a few younger 2nds. 1 middling 1st, not counted in unem",0,294,299,299,0,NA,304,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",9.71666666666667,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.613207547169811,0.537735849056604,0.207560975609756,0.323125,41,1,0,"none",NA,NA
83,"control","cull",25,10,0,0,NA,"10/20/18","10/25/18",09:43:00,1,"10/25/18","FALSE",NA,NA,NA,NA,NA,"10/30/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43410.00",4,1,65,61,4,"11/12/18",57,16,41,5.17,8.51,41,0,"106",106,NA,NA,NA,NA,NA,NA,"mostly mature 2nds, a few younger 2nds. 1 middling 1st, not counted in unem",0,294,299,299,0,NA,304,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",9.71666666666667,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.613207547169811,0.537735849056604,0.207560975609756,0.323125,41,1,0,"none",NA,NA
83,"control","em",25,10,0,0,NA,"10/20/18","10/25/18",09:43:00,1,"10/25/18","FALSE",NA,NA,NA,NA,NA,"10/30/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43410.00",4,1,65,61,4,"11/12/18",57,16,41,5.17,8.51,41,0,"106",106,NA,NA,NA,NA,NA,NA,"mostly mature 2nds, a few younger 2nds. 1 middling 1st, not counted in unem",0,294,299,299,0,NA,304,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",9.71666666666667,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.613207547169811,0.537735849056604,0.207560975609756,0.323125,41,1,0,"none","1469.14",NA
